Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Lemur,7,5,21,21,4.2,7,3,1,2,10,21,21,2.1,72.7,7,0.7,0,0,0,0,0,0,0,0,0,0,5,15,15,3,5,1,5,1,100,2,6,6,3,2,1,2,1,100,3,0,0,0,0,0,0,0,9,5,14,2.8,90.8,4,0,3,8,2,2.66667,84.6667,0,2,6,2,3,100,0,0,0,0,0,0,0,
NickinOKC,9,3,6,14,4.66667,3,1,0,0,6,6,14,2.33333,92,3,0.5,2,4,0,8,2,1,0.25,0,0,88,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.66667,84,2,0,3,8,2,2.66667,84,0,0,0,0,0,0,0,0,0,0,0,0,0,
space12345,10,5,13,20,4,4,10,3,3,10,13,20,2,79.1,4,0.4,0,0,0,0,0,0,0,0,0,0,8,10,14,1.75,2,0.25,2,0.25,73.875,2,3,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,8,8,1,51.5,0,2,5,5,0,1,52.6,2,3,3,0,1,49.6667,0,0,0,0,0,0,0,
paytax,8,7,15,23,3.28571,5,1,4,4,14,15,23,1.64286,76.2857,5,0.357143,1,4,3,7,1.75,1,0.25,1,0.25,92.5,4,9,11,2.75,3,0.75,3,0.75,99,1,3,3,3,1,1,1,1,100,5,0,2,0.4,0,0,0,0,40.4,11,24,2.18182,79.2727,6,1,7,16,4,2.28571,84.8571,0,4,8,2,2,69.5,1,0,0,0,0,0,0,
Alec,9,2,6,9,4.5,2,2,0,0,4,6,9,2.25,87.75,2,0.5,1,3,3,6,2,1,0.333333,1,0.333333,83.6667,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,74,0,0,2,4,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,
Golden Thumbs,9,6,12,26,4.33333,4,5,7,0,12,12,26,2.16667,77.5833,4,0.333333,0,5,0,8,1.6,0,0,0,0,65.8,6,12,16,2.66667,4,0.666667,4,0.666667,90.3333,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,60,13,22,1.69231,68.6923,1,0,13,22,1,1.69231,68.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyrion,9,7,20,33,4.71429,6,5,6,0,14,20,33,2.35714,83.4286,6,0.428571,2,5,9,13,2.6,3,0.6,0,0,89.2,6,9,15,2.5,3,0.5,2,0.333333,89.5,0,0,0,0,0,0,0,0,0,3,2,5,1.66667,0,0,1,0.333333,61.6667,13,22,1.69231,55,2,0,10,19,2,1.9,70.3,0,0,0,0,0,0,0,3,3,0,1,4,0,
Cash,9,1,6,6,6,2,1,2,0,2,6,6,3,100,2,1,0,2,6,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,73,0,0,3,6,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eleazar,9,7,15,31,4.42857,7,3,1,4,14,15,31,2.21429,87.3571,7,0.5,0,8,9,18,2.25,4,0.5,0,0,86.375,3,6,9,3,3,1,0,0,100,0,0,0,0,0,0,0,0,0,3,2,4,1.33333,0,0,0,0,77.3333,8,19,2.375,89,4,0,4,9,2,2.25,83.5,0,4,10,2,2.5,94.5,0,0,0,0,0,0,0,
Alaska,11,2,5,7,3.5,1,2,2,0,4,5,7,1.75,71.25,1,0.25,0,0,0,0,0,0,0,0,0,0,3,5,5,1.66667,1,0.333333,1,0.333333,64,1,0,2,2,0,0,0,0,93,0,0,0,0,0,0,0,0,0,4,4,1,35,0,2,2,4,0,2,67,0,0,0,0,0,0,0,2,0,0,0,3,2,
You,9,1,3,5,5,1,2,1,0,2,3,5,2.5,84.5,1,0.5,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,69,2,2,1,67,0,0,2,2,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,
darkness,9,2,6,11,5.5,3,1,1,0,4,6,11,2.75,97,3,0.75,0,1,3,3,3,1,1,0,0,100,2,3,5,2.5,1,0.5,1,0.5,94,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,100,3,6,2,80,1,0,3,6,1,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,
