Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio
Eleazar,9,6,12,2.00,25,4.17,4,2,6,6,12,12,1.00,25,2.08,89.6,4,33%,2,12,24,2.00,73.4,4,0,1.957
Lacey Clan,9,3,6,2.00,11,3.67,2,2,2,0,6,6,1.00,11,1.83,81.7,2,33%,0,5,10,2.00,74.8,1,0,1.662
Michael,9,6,12,2.00,23,3.83,4,3,7,0,12,12,1.00,23,1.92,81.5,4,33%,1,13,26,2.00,72.6,3,0,2.069
Karen,9,4,6,1.50,14,3.50,2,2,2,1,8,6,0.75,14,1.75,75.3,2,25%,0,6,12,2.00,55.8,2,0,1.275
rOb,9,6,9,1.50,22,3.67,3,1,5,4,12,9,0.75,22,1.83,86.5,3,25%,1,11,26,2.36,90.8,5,0,1.981
beteljuice,9,2,3,1.50,9,4.50,1,1,3,0,4,3,0.75,9,2.25,91.3,1,25%,1,5,10,2.00,72.4,1,0,2.477
Neifen,9,2,3,1.50,7,3.50,1,2,1,0,4,3,0.75,7,1.75,76.3,1,25%,0,3,5,1.67,66.3,0,0,1.412
Batman,9,4,5,1.25,17,4.25,1,2,0,2,8,5,0.63,17,2.13,82.6,1,13%,2,4,10,2.50,88.8,2,0,1.036
YeahRocks,9,6,6,1.00,24,4.00,2,2,9,1,12,6,0.50,24,2.00,83.1,2,17%,2,15,30,2.00,75.3,4,1,2.492
Aigamisou,9,3,3,1.00,13,4.33,2,1,1,1,6,3,0.50,13,2.17,82.3,2,33%,1,4,10,2.50,87.8,2,0,1.358
