Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
UTiger13,9,7,11,1.57143,29,4.14286,3,2,0,4,14,11,29.5,0.785714,29,2.07143,82.5714,3,0.214286,2,3,3,7,2.33333,1,0.333333,0,0,93,9,6,19,2.11111,2,0.222222,1,0.111111,82.3333,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.5,68,7,19,2.71429,91,5,0,1.02857,3,9,3,3,100,0,3,7,1,2.33333,79,0,1,3,1,3,100,0,
Rusty Bolts,9,2,6,3,6,3,2,1,2,2,2,6,6.7,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,4,7,1.75,79.25,1,0,1.96324,4,7,1,1.75,79.25,0,0,0,0,0,0,0,0,0,0,0,0,0,
CactusClan,10,7,22,3.14286,26,3.71429,4,5,0,7,14,22,29.5,1.57143,26,1.85714,72.6429,4,0.285714,0,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,0,0,84.5,5,12,13,2.6,4,0.8,0,0,98,7,8,10,1.42857,0,0,3,0.428571,51.1429,7,16,2.28571,83.5714,2,0,1.14892,1,2,0,2,82,0,6,14,2,2.33333,83.8333,0,0,0,0,0,0,0,
Nato,10,5,13,2.6,16,3.2,3,4,5,7,10,13,19.5,1.3,16,1.6,70.2,3,0.3,1,0,0,0,0,0,0,0,0,0,4,8,10,2.5,2,0.5,2,0.5,87.5,1,3,3,3,1,1,1,1,100,5,2,3,0.6,0,0,1,0.2,50.4,10,16,1.6,69.2,2,1,2.10991,3,4,0,1.33333,62,0,5,11,2,2.2,82.4,0,2,1,0,0.5,47,1,
Raptor,9,3,2,0.666667,7,2.33333,0,1,2,2,6,2,9.4,0.333333,7,1.16667,70.5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0.75,0,0,0,0,65.5,1,2,2,2,0,0,1,1,98,1,0,2,2,0,0,0,0,63,5,12,2.4,89.8,2,0,1.63767,5,12,2,2.4,89.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
earlybird111,9,1,3,3,4,4,1,1,0,1,2,3,3.6,1.5,4,2,86.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0.5,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,80,0,0,0.955882,1,2,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aila42,9,2,12,6,12,6,4,1,4,0,4,12,10.3,3,12,3,100,4,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,6,13,2.16667,76.3333,1,0,2.99242,6,13,1,2.16667,76.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Batman,9,2,3,1.5,9,4.5,1,1,1,0,4,3,9.5,0.75,9,2.25,93.5,1,0.25,1,0,0,0,0,0,0,0,0,0,3,3,7,2.33333,1,0.333333,0,0,92.6667,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,96,3,7,2.33333,74.3333,1,0,1.49275,3,7,1,2.33333,74.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
SidDragon,9,1,0,0,3,3,0,1,0,0,2,0,3.5,0,3,1.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,79,0,0,1.01493,1,2,0,2,79,0,0,0,0,0,0,0,0,0,0,0,0,0,
Leah's Daddy Time,9,6,17,2.83333,25,4.16667,5,4,4,4,12,17,26.5,1.41667,25,2.08333,85.4167,5,0.416667,0,0,0,0,0,0,0,0,0,0,10,15,22,2.2,5,0.5,5,0.5,89,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.5,67.5,10,18,1.8,72.8,2,1,1.7178,7,11,1,1.57143,68.5714,1,3,7,1,2.33333,82.6667,0,0,0,0,0,0,0,
