Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Simlin,9,21,53,2.52381,94,4.47619,18,20,12,0,42,53,1.2619,94,2.2381,86.7381,18,0.428571,1,16,17,33,2.0625,5,0.3125,5,0.3125,80.875,26,36,61,2.34615,13,0.5,7,0.269231,90.3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,62,2,80.4516,6,0,31,62,6,2,80.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,
opse2013,11,18,71,3.94444,75,4.16667,12,42,8,0,35,1194932352,3.41409e+07,75,2.14286,81.0571,12,0.342857,1,0,0,0,0,0,0,0,0,0,22,42,43,1.95455,4,0.181818,6,0.272727,74.6364,13,29,32,2.46154,8,0.615385,5,0.384615,91.9231,0,0,0,0,0,0,0,0,0,24,12,0.5,39.1667,1,17,16,12,1,0.75,47.8125,9,0,0,0,0,0,0,8,0,0,0,21.875,8,
Moose Knuckle,9,9,17,1.88889,36,4,5,1,6,0,18,17,0.944444,36,2,74.2778,5,0.277778,0,3,0,5,1.66667,0,0,0,0,57.3333,15,17,31,2.06667,5,0.333333,3,0.2,77.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,2.26667,89.2667,8,0,15,34,8,2.26667,89.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,
lemur,7,8,24,3,25,3.125,8,5,2,5,15,24,1.6,25,1.66667,62.8,8,0.533333,0,0,0,0,0,0,0,0,0,0,6,15,16,2.66667,5,0.833333,5,0.833333,95.3333,3,9,9,3,3,1,3,1,100,6,0,0,0,0,0,0,0,11.6667,9,23,2.55556,85,6,0,4,9,2,2.25,76,0,5,14,4,2.8,92.2,0,0,0,0,0,0,0,
ShawnTheVret,11,5,17,3.4,22,4.4,4,8,4,0,10,1194932369,1.19493e+08,22,2.2,85.4,4,0.4,0,0,0,0,0,0,0,0,0,0,6,53,13,2.16667,2,0.333333,3,0.5,83.6667,4,35,9,2.25,2,0.5,2,0.5,88,0,0,0,0,0,0,0,0,0,8,12,1.5,51.5,0,0,6,10,0,1.66667,56.1667,0,0,0,0,0,0,0,2,2,0,1,37.5,0,
NickinOKC,9,17,47,2.76471,73,4.29412,16,11,5,2,33,47,1.42424,73,2.21212,88.1515,16,0.484848,4,19,11,33,1.73684,4,0.210526,2,0.105263,81,13,33,37,2.84615,11,0.846154,5,0.384615,97.6923,0,0,0,0,0,0,0,0,0,1,12,3,3,1,1,1,1,100,21,48,2.28571,83.2381,8,0,19,43,7,2.26316,83.1053,0,2,5,1,2.5,84.5,0,0,0,0,0,0,0,
Space12345,10,17,33,1.94118,59,3.47059,9,26,8,10,34,33,0.970588,59,1.73529,72.0294,9,0.264706,0,0,0,0,0,0,0,0,0,0,24,18,36,1.5,3,0.125,4,0.166667,66.9167,7,15,20,2.85714,6,0.857143,0,0,98.1429,3,98,3,1,0,0,0,0,52,25,32,1.28,50.12,0,3,14,18,0,1.28571,50.2857,2,10,14,0,1.4,54.9,0,1,0,0,0,0,1,
Boomer,8,11,30,2.72727,39,3.54545,10,4,8,8,22,30,1.36364,39,1.77273,67.6364,10,0.454545,2,2,6,6,3,2,1,1,0.5,100,6,15,17,2.83333,5,0.833333,2,0.333333,99.3333,2,6,6,3,2,1,2,1,100,12,3,10,0.833333,1,0.0833333,1,0.0833333,41,19,38,2,80.3684,9,2,11,22,4,2,84.0909,0,8,16,5,2,75.25,2,0,0,0,0,0,0,
Adam,9,1,2,2,4,4,0,0,1,0,2,2,1,4,2,78,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,1,0.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,85.5,1,0,2,5,1,2.5,85.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tim,10,1,6,6,6,6,2,1,2,1,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,3,5,1.66667,72.6667,0,0,2,3,0,1.5,71,0,1,2,0,2,76,0,0,0,0,0,0,0,
