Player,TH,Total Wars,Total Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses
NickinOKC,9,1,3,5,5,1,0,0,0,2,3,5,2.5,99.5,1,0.5,1,1,0,2,2,0,0,0,0,99,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0
space12345,10,5,13,20,4,4,10,3,3,10,13,20,2,79.1,4,0.4,0,0,0,0,0,0,0,0,0,0,8,10,14,1.75,2,0.25,2,0.25,73.875,2,3,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,8,8,1,51.5,0,2,5,5,0,1,52.6,2,3,3,0,1,49.6667,0,0,0,0,0,0,0
paytax,8,5,9,17,3.4,3,1,4,3,10,9,17,1.7,82.1,3,0.3,1,4,3,7,1.75,1,0.25,1,0.25,92.5,3,6,8,2.66667,2,0.666667,2,0.666667,98.6667,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,51.6667,9,18,2,74.6667,4,1,6,13,3,2.16667,82.3333,0,3,5,1,1.66667,59.3333,1,0,0,0,0,0,0
Alec,9,1,6,6,6,2,1,0,0,2,6,6,3,100,2,1,0,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,73,0,0,1,2,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Thumbs,9,4,9,18,4.5,3,4,6,0,8,9,18,2.25,81.25,3,0.375,0,3,0,5,1.66667,0,0,0,0,69.3333,5,9,13,2.6,3,0.6,3,0.6,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,1.6,66.2,0,0,10,16,0,1.6,66.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrion,9,5,9,22,4.4,3,4,5,0,10,9,22,2.2,81.3,3,0.3,2,3,3,7,2.33333,1,0.333333,0,0,82,5,6,12,2.4,2,0.4,1,0.2,87.4,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,65,10,16,1.6,49.5,1,0,7,13,1,1.85714,69,0,0,0,0,0,0,0,3,3,0,1,4,0
Cash,9,1,6,6,6,2,1,2,0,2,6,6,3,100,2,1,0,2,6,6,3,2,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,73,0,0,3,6,0,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0
Eleazar,9,5,9,22,4.4,5,2,1,3,10,9,22,2.2,87,5,0.5,0,6,3,12,2,2,0.333333,0,0,81.8333,3,6,9,3,3,1,0,0,100,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,79,6,14,2.33333,93.1667,3,0,3,7,2,2.33333,93.6667,0,3,7,1,2.33333,92.6667,0,0,0,0,0,0,0
You,9,1,3,5,5,1,2,1,0,2,3,5,2.5,84.5,1,0.5,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,69,2,2,1,67,0,0,2,2,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0
darkness,9,2,6,11,5.5,3,1,1,0,4,6,11,2.75,97,3,0.75,0,1,3,3,3,1,1,0,0,100,2,3,5,2.5,1,0.5,1,0.5,94,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,100,3,6,2,80,1,0,3,6,1,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0
