Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
RealSide,9,4,11,2.75,19,4.75,3,2,4,2,8,11,21.4,1.375,19,2.375,82.375,3,0.375,2,2,0,4,2,0,0,0,0,76,3,6,8,2.66667,2,0.666667,1,0.333333,99.6667,1,3,3,3,1,1,0,0,100,2,2,4,2,0,0,1,0.5,54,8,18,2.25,82.75,2,0,2.00746,6,13,1,2.16667,80.1667,0,1,3,1,3,100,0,1,2,0,2,81,0,
Slim Shady,9,5,15,3,24,4.8,5,2,3,3,10,15,22.7,1.5,24,2.4,87.6,5,0.5,0,6,6,14,2.33333,2,0.333333,2,0.333333,85.3333,4,9,10,2.5,3,0.75,3,0.75,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,2.375,86.375,3,0,1.69507,6,13,1,2.16667,81.8333,0,2,6,2,3,100,0,0,0,0,0,0,0,
Chris,10,19,35,1.84211,62,3.26316,7,24,9,11,38,38,68.5,1,62,1.63158,77.7105,7,0.184211,3,4,4,6,1.5,0,0,0,0,80.5,16,16,30,1.875,4,0.25,4,0.25,84.875,4,8,9,2.25,2,0.5,1,0.25,96,14,10,17,1.21429,1,0.0714286,4,0.285714,63.5,26,39,1.5,56.7308,2,3,1.3328,10,14,0,1.4,59.6,1,10,18,2,1.8,63.8,0,6,7,0,1.16667,40.1667,2,
Czech1Czech2,9,18,35,1.94444,73,4.05556,11,10,5,14,36,38,83.9,1.05556,73,2.02778,79.4722,11,0.305556,2,12,12,26,2.16667,5,0.416667,3,0.25,86,10,15,24,2.4,5,0.5,1,0.1,92,0,0,0,0,0,0,0,0,0,14,11,23,1.64286,1,0.0714286,4,0.285714,64.9286,22,49,2.22727,80.4091,12,2,1.34762,9,23,7,2.55556,93.8889,0,13,26,5,2,71.0769,2,0,0,0,0,0,0,
Mord,9,7,11,1.57143,21,3,4,4,3,6,13,14,32.5,1.07692,21,1.61538,71.3846,4,0.307692,1,2,6,6,3,2,1,0,0,100,3,3,7,2.33333,1,0.333333,0,0,90,0,0,0,0,0,0,0,0,0,8,5,8,1,1,0.125,0,0,57.25,10,21,2.1,76.8,3,1,1.49068,6,12,2,2,76,1,3,7,1,2.33333,79,0,1,2,0,2,75,0,
DCME,9,2,0,0,5,2.5,0,0,1,0,4,0,4.7,0,5,1.25,71,0,0,1,4,0,5,1.25,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.66667,99.6667,2,0,1.48571,3,8,2,2.66667,99.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,16,40,2.5,68,4.25,13,8,13,5,32,40,91.8,1.25,68,2.125,81.875,13,0.40625,2,14,24,32,2.28571,8,0.571429,2,0.142857,87.2143,7,12,19,2.71429,5,0.714286,1,0.142857,97.1429,0,0,0,0,0,0,0,0,0,11,4,17,1.54545,0,0,0,0,65.3636,28,64,2.28571,90.2143,10,0,1.7817,25,56,8,2.24,89.28,0,3,8,2,2.66667,98,0,0,0,0,0,0,0,
Avra's Secret,9,6,24,4,31,5.16667,8,4,6,1,12,24,32.1,2,31,2.58333,96.4167,8,0.666667,2,3,6,8,2.66667,2,0.666667,1,0.333333,99.6667,8,15,20,2.5,5,0.625,3,0.375,94.75,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,12,24,2,83.3333,2,0,1.97289,10,20,2,2,85.5,0,1,2,0,2,90,0,1,2,0,2,55,0,
rOb,9,1,3,3,5,5,1,0,0,1,2,3,6.8,1.5,5,2.5,97,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,1,3,3,100,1,0,1.26087,0,0,0,0,0,0,1,3,1,3,100,0,0,0,0,0,0,0,
Ohio-Legend-216,9,16,52,3.25,77,4.8125,18,12,18,8,32,55,83.9,1.71875,77,2.40625,89.0938,18,0.5625,0,18,36,45,2.5,12,0.666667,9,0.5,92.6667,6,12,16,2.66667,4,0.666667,3,0.5,96.6667,0,0,0,0,0,0,0,0,0,8,7,16,2,2,0.25,3,0.375,75.375,32,64,2,78.6562,8,2,2.11866,25,48,4,1.92,79.12,1,7,16,4,2.28571,77,1,0,0,0,0,0,0,
