Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Dawnny,9,2,3,1.5,9,4.5,1,1,1,2,4,3,0.75,9,2.25,80,1,0.25,0,3,3,7,2.33333,1,0.333333,0,0,89.3333,1,0,2,2,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,85.6667,1,0,1.76812,1,1,0,1,60,0,2,5,1,2.5,98.5,0,0,0,0,0,0,0,
Chief Aarya,9,3,9,3,14,4.66667,3,2,1,1,6,9,1.5,14,2.33333,81.8333,3,0.5,0,4,3,8,2,1,0.25,0,0,72.75,1,3,3,3,1,1,1,1,100,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,4,9,2.25,75.75,1,0,1.35354,2,5,1,2.5,90.5,0,1,2,0,2,70,0,1,2,0,2,52,0,
Chris,10,10,33,3.3,47,4.7,8,7,7,1,20,33,1.65,47,2.35,88.75,8,0.4,1,6,9,12,2,1,0.166667,4,0.666667,83.8333,13,21,32,2.46154,6,0.461538,4,0.307692,90.1538,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,17,32,1.88235,68.2941,4,2,1.66628,13,26,3,2,71.4615,1,1,3,1,3,100,0,3,3,0,1,44,1,
Czech1Czech2,9,22,49,2.22727,88,4,16,8,4,16,42,49,1.16667,88,2.09524,83.4286,16,0.380952,3,25,30,55,2.2,10,0.4,3,0.12,86.96,12,15,27,2.25,6,0.5,2,0.166667,89.0833,0,0,0,0,0,0,0,0,0,5,4,6,1.2,0,0,2,0.4,52.2,26,65,2.5,87.1538,15,0,1.2987,13,33,7,2.53846,85.5385,0,13,32,8,2.46154,88.7692,0,0,0,0,0,0,0,
Mord,9,16,39,2.4375,65,4.0625,11,6,10,10,31,39,1.25806,65,2.09677,84.5161,11,0.354839,2,15,18,33,2.2,4,0.266667,4,0.266667,87.4667,11,18,26,2.36364,6,0.545455,4,0.363636,92.2727,0,0,0,0,0,0,0,0,0,5,3,6,1.2,1,0.2,1,0.2,58.6,26,56,2.15385,82.3846,10,1,1.73904,17,32,4,1.88235,78.4706,1,9,24,6,2.66667,89.7778,0,0,0,0,0,0,0,
Karen,9,2,5,2.5,9,4.5,1,1,1,2,4,5,1.25,9,2.25,81.5,1,0.25,1,0,0,0,0,0,0,0,0,0,3,3,7,2.33333,1,0.333333,1,0.333333,87.6667,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,63,3,6,2,74.6667,1,0,1.60145,1,1,0,1,45,0,2,5,1,2.5,89.5,0,0,0,0,0,0,0,
Whooboy,9,19,61,3.21053,92,4.84211,22,11,12,7,38,61,1.60526,92,2.42105,88.2895,22,0.578947,1,24,42,62,2.58333,16,0.666667,3,0.125,92.4167,9,15,23,2.55556,6,0.666667,0,0,92.5556,0,0,0,0,0,0,0,0,0,5,4,7,1.4,0,0,1,0.2,60.8,31,60,1.93548,76.129,8,3,1.73227,25,45,4,1.8,71.6,3,6,15,4,2.5,95,0,0,0,0,0,0,0,
MrBates,9,3,6,2,13,4.33333,2,2,5,0,6,6,1,13,2.16667,76.1667,2,0.333333,0,1,0,2,2,0,0,0,0,74,3,3,7,2.33333,1,0.333333,0,0,76,1,3,3,3,1,1,1,1,100,1,0,1,1,0,0,0,0,55,8,15,1.875,60.25,1,0,132.036,3,7,1,2.33333,73.3333,0,2,2,0,1,42.5,0,3,6,0,2,59,0,
beteljuice,9,17,44,2.58824,71,4.17647,14,7,36,1,34,44,1.29412,71,2.08824,83.6176,14,0.411765,3,3,0,4,1.33333,0,0,0,0,61.6667,24,32,54,2.25,10,0.416667,11,0.458333,89.5833,4,12,12,3,4,1,4,1,100,3,0,1,0.333333,0,0,0,0,36,53,98,1.84906,70.434,11,2,3.07093,42,83,10,1.97619,78.7381,0,1,3,1,3,100,0,10,12,0,1.2,32.6,2,
Ohio-Legend-216,9,22,68,3.09091,102,4.63636,22,13,7,5,44,68,1.54545,102,2.31818,87.5455,22,0.5,2,29,45,70,2.41379,15,0.517241,7,0.241379,90.6897,12,18,26,2.16667,6,0.5,4,0.333333,85.1667,1,3,3,3,1,1,1,1,100,2,2,3,1.5,0,0,1,0.5,50,29,63,2.17241,80.6552,10,0,1.34453,25,53,8,2.12,78.84,0,4,10,2,2.5,92,0,0,0,0,0,0,0,
