Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Dragon-Fly,12,1,2,2,4,4,0,1,0,0,2,2,4,1,4,2,71.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,57,0,0,0,1,2,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan,12,7,22,3.14286,27,3.85714,0,7,3,0,14,22,27,1.57143,27,1.92857,67.6429,0,0,0,0,0,0,0,0,0,0,0,0,14,22,27,1.92857,0,0,7,0.5,67.6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,1.7,59.5,0,0,0,10,17,0,1.7,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt,12,3,4,1.33333,9,3,0,3,1,0,5,4,9,0.8,9,1.8,68.6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,1.8,0,0,2,0.4,68.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1.75,69.5,0,0,0,4,7,0,1.75,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Damage Inc,12,5,16,3.2,19,3.8,0,4,3,0,10,16,19,1.6,19,1.9,77,0,0,0,0,0,0,0,0,0,0,0,0,10,16,19,1.9,0,0,4,0.4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,73.875,1,0,0,8,16,1,2,73.875,0,0,0,0,0,0,0,0,0,0,0,0,0,
G Squad,12,5,0,0,13,2.6,0,3,23,0,10,0,13,0,13,1.3,46.9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,1.3,0,0,0,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,1.82143,73.2143,2,1,0,27,51,2,1.88889,74.4444,0,0,0,0,0,0,0,1,0,0,0,40,1,
Eddie,12,1,0,0,2,2,0,1,1,0,2,0,2,0,2,1,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.5,67.5,0,0,0,2,3,0,1.5,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Street Product,12,5,8,1.6,18,3.6,2,4,3,0,9,8,18,0.888889,18,2,76.3333,2,0.222222,0,0,0,0,0,0,0,0,0,0,9,8,18,2,2,0.222222,0,0,76.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,73.5,1,0,0,8,16,1,2,73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZeroGage,12,1,0,0,3,3,0,1,0,0,2,0,3,0,3,1.5,59.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,82,0,0,0,1,2,0,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,
greencheese,12,5,8,1.6,16,3.2,0,5,0,0,8,8,16,1,16,2,74.5,0,0,1,0,0,0,0,0,0,0,0,0,8,8,16,2,0,0,2,0.25,74.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,83.8,0,0,0,5,10,0,2,83.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blackhawk,12,5,4,0.8,11,2.2,0,5,4,0,8,4,11,0.5,11,1.375,54.5,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,1.375,0,0,1,0.125,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1.77778,60.1111,0,0,0,9,16,0,1.77778,60.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,
