Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Damage Inc,12,3,8,2.66667,8,2.66667,2,2,0,0,3,8,7,2.66667,8,2.66667,85,2,0.666667,0,0,0,0,0,0,0,0,0,0,2,5,5,2.5,1,0.5,2,1,77.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,3,7,2.33333,74.3333,1,0,0,2,5,1,2.5,83,0,0,0,0,0,0,0,1,2,0,2,57,0,
G Squad,12,2,3,1.5,3,1.5,1,6,0,0,1,3,2,3,3,3,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eddie,12,3,7,2.33333,7,2.33333,1,5,0,0,3,7,5,2.33333,7,2.33333,80.6667,1,0.333333,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,53,2,5,5,2.5,1,0.5,2,1,94.5,0,0,0,0,0,0,0,0,0,2,4,2,61.5,0,0,0,1,2,0,2,68,0,0,0,0,0,0,0,1,2,0,2,55,0,
Street Product,12,4,10,2.5,10,2.5,2,4,0,0,4,10,10,2.5,10,2.5,83,2,0.5,0,0,0,0,0,0,0,0,0,0,4,10,10,2.5,2,0.5,4,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,62.5,0,0,0,4,8,0,2,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ZeroGage,12,4,9,2.25,9,2.25,1,8,1,0,4,9,8,2.25,9,2.25,81.25,1,0.25,0,0,0,0,0,0,0,0,0,0,3,6,6,2,0,0,3,1,75,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,4,4,1,64.75,0,1,0,4,4,0,1,64.75,1,0,0,0,0,0,0,0,0,0,0,0,0,
Blackhawk,12,3,4,1.33333,4,1.33333,0,7,0,0,3,4,2,1.33333,4,1.33333,63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,2,4,4,2,0,0,2,1,83.5,0,0,0,0,0,0,0,0,0,1,2,2,52,0,0,0,1,2,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christ,12,3,6,2,6,2,1,7,0,0,3,6,5,2,6,2,82.3333,1,0.333333,0,0,0,0,0,0,0,0,0,0,2,3,3,1.5,0,0,2,1,73.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,2,2,1,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,36.5,0,
Celebpi,12,3,7,2.33333,7,2.33333,1,8,0,0,3,7,5,2.33333,7,2.33333,75,1,0.333333,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,69,2,5,5,2.5,1,0.5,2,1,78,0,0,0,0,0,0,0,0,0,1,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,58,0,
Sgt Baker,12,3,7,2.33333,7,2.33333,1,5,0,0,3,7,6,2.33333,7,2.33333,83,1,0.333333,0,0,0,0,0,0,0,0,0,0,2,4,4,2,0,0,2,1,74.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,2,4,2,80,0,0,0,2,4,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yamato,12,4,8,2,8,2,0,7,0,0,4,8,8,2,8,2,76.25,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,2,0,0,4,1,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1.66667,75.6667,0,0,0,3,5,0,1.66667,75.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hurrican Heidi,12,4,8,2,8,2,1,3,0,0,4,8,8,2,8,2,78,1,0.25,0,0,0,0,0,0,0,0,0,0,4,8,8,2,1,0.25,4,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2.25,68.75,1,0,0,4,9,1,2.25,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atticus,12,4,8,2,8,2,0,4,0,0,4,8,8,2,8,2,81.75,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,2,0,0,4,1,81.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,69.75,0,0,0,4,8,0,2,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atlas,12,4,9,2.25,9,2.25,1,5,0,0,4,9,9,2.25,9,2.25,83,1,0.25,0,0,0,0,0,0,0,0,0,0,4,9,9,2.25,1,0.25,4,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,83.3333,1,0,0,3,7,1,2.33333,83.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scott_218,12,3,6,2,6,2,1,5,0,0,3,6,5,2,6,2,65,1,0.333333,0,0,0,0,0,0,0,0,0,0,2,3,3,1.5,0,0,2,1,47.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,2,4,2,66.5,0,0,0,2,4,0,2,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
BringerOfRain,12,4,10,2.5,10,2.5,2,4,0,0,4,10,10,2.5,10,2.5,93.75,2,0.5,1,0,0,0,0,0,0,0,0,0,4,10,10,2.5,2,0.5,4,1,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,76.5,0,0,0,4,8,0,2,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darth Czar,12,4,6,1.5,6,1.5,0,6,1,0,4,6,6,1.5,6,1.5,84.25,0,0,2,0,0,0,0,0,0,0,0,0,4,6,6,1.5,0,0,4,1,84.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1.2,55.4,0,1,0,5,6,0,1.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,
Fergus Maximus,12,3,6,2,6,2,2,5,0,0,3,6,4,2,6,2,79,2,0.666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,37,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,2,4,2,52,0,0,0,2,4,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,
kittykat,12,4,10,2.5,10,2.5,2,5,0,0,4,10,10,2.5,10,2.5,78,2,0.5,0,0,0,0,0,0,0,0,0,0,4,10,10,2.5,2,0.5,4,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1.75,64,0,0,0,3,6,0,2,70,0,0,0,0,0,0,0,1,1,0,1,46,0,
Delivering Chaos,12,3,9,3,9,3,3,5,1,0,3,9,6,3,9,3,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,4,4,1,47.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,47.5,1,
