Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Quality Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
The Forsaken,12,1,0,0,3,3,0,1,0,0,2,0,3,0,3,1.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1.5,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,63,0,0,0,1,2,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,
Girthy Potato,12,8,20,2.5,28,3.5,0,8,7,0,16,20,28,1.25,28,1.75,53.1875,0,0,0,0,0,0,0,0,0,0,0,0,16,20,28,1.75,0,0,8,0.5,53.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,1.73333,74.8667,0,0,0,15,26,0,1.73333,74.8667,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pike,12,1,2,2,3,3,0,1,2,0,2,2,2,1,3,1.5,86,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,89,1,0,1,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,3,5,1.66667,65.3333,0,0,0,3,5,0,1.66667,65.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
WillX78,12,7,10,1.42857,19,2.71429,0,7,4,0,12,10,19,0.833333,19,1.58333,59.25,0,0,0,0,0,0,0,0,0,0,0,0,12,10,19,1.58333,0,0,4,0.333333,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,1.72727,63.7273,0,0,0,11,19,0,1.72727,63.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pval the Great,12,4,7,1.75,15,3.75,1,2,16,0,8,7,14,0.875,15,1.875,66.375,1,0.125,0,0,0,0,0,0,0,0,0,0,7,4,12,1.71429,0,0,2,0.285714,61.5714,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,20,35,1.75,73.75,2,1,0,17,33,2,1.94118,79.1176,0,0,0,0,0,0,0,3,2,0,0.666667,43.3333,1,
Xtm,12,3,4,1.33333,8,2.66667,0,3,0,0,5,4,8,0.8,8,1.6,72.2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,1.6,0,0,2,0.4,72.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,68.3333,0,0,0,3,6,0,2,68.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dragon-Fly,12,4,12,3,13,3.25,0,4,1,0,7,12,13,1.71429,13,1.85714,61.5714,0,0,0,0,0,0,0,0,0,0,0,0,7,12,13,1.85714,0,0,3,0.428571,61.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1.6,69,0,1,0,5,8,0,1.6,69,1,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan,12,6,12,2,21,3.5,2,6,2,0,12,12,21,1,21,1.75,78.9167,2,0.166667,0,0,0,0,0,0,0,0,0,0,12,12,21,1.75,2,0.166667,5,0.416667,78.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1.875,68,0,0,0,8,15,0,1.875,68,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt,12,8,24,3,31,3.875,0,7,3,0,16,24,31,1.5,31,1.9375,69.5625,0,0,1,0,0,0,0,0,0,0,0,0,16,24,31,1.9375,0,0,9,0.5625,69.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,2,73.2727,1,0,0,11,22,1,2,73.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,
Damage Inc,12,3,5,1.66667,8,2.66667,1,3,2,0,5,5,8,1,8,1.6,76.4,1,0.2,0,0,0,0,0,0,0,0,0,0,5,5,8,1.6,1,0.2,1,0.2,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1.6,69.8,0,0,0,5,8,0,1.6,69.8,0,0,0,0,0,0,0,0,0,0,0,0,0,
