Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
UTiger13,9,14,32,2.28571,55,3.92857,10,8,19,9,28,32,1.14286,55,1.96429,80.25,10,0.357143,0,22,23,44,2,7,0.318182,4,0.181818,82.4091,3,6,7,2.33333,2,0.666667,0,0,88,0,0,0,0,0,0,0,0,0,3,10,4,1.33333,1,0.333333,0,0,56.6667,31,61,1.96774,79.2581,10,4,22,39,4,1.77273,74.5455,3,9,22,6,2.44444,90.7778,1,0,0,0,0,0,0,
Albino,9,1,6,6,6,6,2,0,1,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,2,5,2.5,87.5,1,0,2,5,1,2.5,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
nato,9,17,48,2.82353,80,4.70588,16,15,10,2,34,48,1.41176,80,2.35294,91.5588,16,0.470588,3,25,36,58,2.32,12,0.48,10,0.4,91.08,7,12,18,2.57143,4,0.571429,1,0.142857,93.7143,0,0,0,0,0,0,0,0,0,2,11,4,2,0,0,0,0,90,26,54,2.07692,77.4615,5,0,24,49,4,2.04167,76.75,0,2,5,1,2.5,86,0,0,0,0,0,0,0,
Batman,9,10,32,3.2,47,4.7,12,11,4,1,20,32,1.6,47,2.35,88.5,12,0.6,1,12,17,27,2.25,6,0.5,6,0.5,87.0833,6,12,16,2.66667,5,0.833333,1,0.166667,97,0,0,0,0,0,0,0,0,0,2,14,4,2,1,0.5,0,0,71.5,12,24,2,78.9167,3,0,11,22,3,2,77.1818,0,1,2,0,2,98,0,0,0,0,0,0,0,
ShawnTheVret,11,1,2,2,3,3,0,3,0,0,2,2,1,3,1.5,82.5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NickinOKC,9,11,31,2.81818,46,4.18182,11,8,13,3,21,31,1.47619,46,2.19048,85.3333,11,0.52381,2,14,27,37,2.64286,9,0.642857,4,0.285714,93.7143,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,6,15,6,1,1,0.166667,1,0.166667,63.3333,23,47,2.04348,81.6522,5,1,20,39,3,1.95,79,1,3,8,2,2.66667,99.3333,0,0,0,0,0,0,0,
Space12345,10,15,50,3.33333,63,4.2,11,19,8,6,30,50,1.66667,63,2.1,83.9667,11,0.366667,3,0,0,0,0,0,0,0,0,0,23,39,48,2.08696,8,0.347826,13,0.565217,84.3913,4,6,10,2.5,2,0.5,0,0,94,3,5,5,1.66667,1,0.333333,2,0.666667,67.3333,21,30,1.42857,58.7143,3,4,12,15,0,1.25,51,1,6,15,3,2.5,90.3333,0,3,0,0,0,26.3333,3,
Alec,9,4,9,2.25,16,4,3,3,1,0,8,9,1.125,16,2,84.875,3,0.375,1,6,9,12,2,3,0.5,2,0.333333,81.3333,2,0,4,2,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,81.4,2,0,5,10,2,2,81.4,0,0,0,0,0,0,0,0,0,0,0,0,0,
LMNTrix,9,2,3,1.5,9,4.5,1,1,0,0,4,3,0.75,9,2.25,92.5,1,0.25,1,2,0,4,2,0,0,0,0,87.5,2,3,5,2.5,1,0.5,1,0.5,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,80.5,1,0,2,5,1,2.5,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
DarthCarlos10,10,14,41,2.92857,54,3.85714,9,16,4,9,28,41,1.46429,54,1.92857,76.6071,9,0.321429,2,0,0,0,0,0,0,0,0,0,15,26,34,2.26667,5,0.333333,9,0.6,84.7333,2,3,4,2,1,0.5,0,0,82,11,17,16,1.45455,3,0.272727,4,0.363636,64.5455,15,28,1.86667,66.2,4,2,5,11,1,2.2,68,0,9,17,3,1.88889,72.2222,1,1,0,0,0,3,1,
Nordar,11,3,10,3.33333,13,4.33333,2,4,0,0,6,10,1.66667,13,2.16667,84.3333,2,0.333333,0,0,0,0,0,0,0,0,0,0,5,7,10,2,1,0.2,1,0.2,81.2,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,3,5,1.66667,47.3333,0,0,3,5,0,1.66667,47.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,
Enigma,9,4,10,2.5,17,4.25,2,2,3,0,8,10,1.25,17,2.125,77.875,2,0.25,0,2,2,4,2,0,0,1,0.5,71,5,8,12,2.4,2,0.4,1,0.2,83.2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,65,7,15,2.14286,78.5714,3,0,7,15,3,2.14286,78.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kid Succulent,9,2,12,6,12,6,4,1,0,0,4,12,3,12,3,100,4,1,0,4,12,12,3,4,1,3,0.75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,79,1,0,2,5,1,2.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eleazar,9,22,74,3.36364,106,4.81818,24,10,11,22,44,74,1.68182,106,2.40909,93.9545,24,0.545455,8,35,69,92,2.62857,23,0.657143,7,0.2,96.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14,1.55556,1,0.111111,1,0.111111,85.1111,33,73,2.21212,82.1212,14,0,9,21,4,2.33333,78.7778,0,22,50,10,2.27273,87.2273,0,2,2,0,1,41,0,
Bob,11,5,21,4.2,25,5,5,8,3,0,10,21,2.1,25,2.5,92.2,5,0.5,1,0,0,0,0,0,0,0,0,0,6,10,14,2.33333,2,0.333333,3,0.5,89.1667,4,11,11,2.75,3,0.75,3,0.75,96.75,0,0,0,0,0,0,0,0,0,7,9,1.28571,47.7143,0,1,2,3,0,1.5,50.5,0,0,0,0,0,0,0,5,6,0,1.2,46.6,1,
MrPatty,9,9,19,2.11111,36,4,5,4,5,7,18,19,1.05556,36,2,86.5,5,0.277778,3,14,19,28,2,5,0.357143,5,0.357143,88,1,0,2,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,3,5,6,2,0,0,0,0,77,14,31,2.21429,81.0714,5,0,7,14,1,2,76.5714,0,7,17,4,2.42857,85.5714,0,0,0,0,0,0,0,
Chris19,9,3,11,3.66667,14,4.66667,3,1,3,0,6,11,1.83333,14,2.33333,92.5,3,0.5,0,5,11,12,2.4,3,0.6,4,0.8,94.4,1,0,2,2,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,2.16667,74,2,0,5,12,2,2.4,80,0,0,0,0,0,0,0,1,1,0,1,44,0,
Captain America,9,7,21,3,32,4.57143,7,6,13,2,14,21,1.5,32,2.28571,87.8571,7,0.5,1,3,3,6,2,1,0.333333,1,0.333333,77.6667,10,18,25,2.5,6,0.6,4,0.4,94.2,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,55,20,34,1.7,65.95,2,1,18,32,2,1.77778,66.8333,1,2,2,0,1,58,0,0,0,0,0,0,0,
Shift,11,1,2,2,2,2,0,1,0,0,2,23,11.5,2,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,40,1,13,2,2,0,0,1,1,64,0,0,0,0,0,0,0,0,0,1,2,2,59,0,0,1,2,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corey,9,23,56,2.43478,105,4.56522,18,20,23,1,46,56,1.21739,105,2.28261,86.1087,18,0.391304,4,22,20,46,2.09091,6,0.272727,5,0.227273,82.5,22,30,53,2.40909,10,0.454545,9,0.409091,88.4545,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,45,76,1.68889,70.7556,7,5,44,74,7,1.68182,71.0455,5,1,2,0,2,58,0,0,0,0,0,0,0,
Dada 1974,9,13,35,2.69231,54,4.15385,11,9,14,2,25,35,1.4,54,2.16,87.92,11,0.44,0,8,5,13,1.625,1,0.125,2,0.25,81.375,16,30,40,2.5,10,0.625,6,0.375,93.4375,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,52,27,48,1.77778,73.4444,6,3,25,44,5,1.76,73.32,3,2,4,1,2,75,0,0,0,0,0,0,0,
Sno,10,15,48,3.2,59,3.93333,12,17,5,8,29,48,1.65517,59,2.03448,74.0345,12,0.413793,0,0,0,0,0,0,0,0,0,0,16,29,35,2.1875,8,0.5,6,0.375,79.8125,4,12,12,3,4,1,0,0,100,9,7,12,1.33333,0,0,2,0.222222,52.2222,19,35,1.84211,65.4737,2,1,10,19,0,1.9,60.6,0,8,16,2,2,77.25,0,1,0,0,0,20,1,
RedACE,9,22,62,2.81818,102,4.63636,20,11,7,14,44,62,1.40909,102,2.31818,87.3409,20,0.454545,2,34,45,80,2.35294,15,0.441176,7,0.205882,89.6471,4,9,11,2.75,3,0.75,1,0.25,98,0,0,0,0,0,0,0,0,0,6,13,11,1.83333,2,0.333333,2,0.333333,67.1667,29,61,2.10345,81.931,13,2,15,26,3,1.73333,72.1333,1,14,35,10,2.5,92.4286,1,0,0,0,0,0,0,
