Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
ShawnTheVret,11,1,2,2,3,3,0,3,0,0,2,2,1,3,1.5,82.5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1.5,0,0,1,0.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NickInOKC,9,8,21,2.625,34,4.25,8,6,7,1,15,21,1.4,34,2.26667,88.2667,8,0.533333,2,11,21,29,2.63636,7,0.636364,4,0.363636,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1.25,1,0.25,0,0,72.5,14,32,2.28571,87.8571,4,0,13,29,3,2.23077,86.9231,0,1,3,1,3,100,0,0,0,0,0,0,0,
Space12345,10,9,33,3.66667,41,4.55556,8,13,4,3,18,33,1.83333,41,2.27778,86.1667,8,0.444444,1,0,0,0,0,0,0,0,0,0,13,24,28,2.15385,5,0.384615,9,0.692308,82.6923,4,6,10,2.5,2,0.5,0,0,94,1,3,3,3,1,1,1,1,100,11,16,1.45455,64.0909,1,2,7,9,0,1.28571,54.4286,1,3,7,1,2.33333,92,0,1,0,0,0,48,1,
Alec,9,3,6,2,12,4,2,3,1,0,6,6,1,12,2,85.5,2,0.333333,1,4,6,8,2,2,0.5,2,0.5,80.5,2,0,4,2,0,0,0,0,95.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1.75,76.75,1,0,4,7,1,1.75,76.75,0,0,0,0,0,0,0,0,0,0,0,0,0,
LMNTrix,9,2,3,1.5,9,4.5,1,1,0,0,4,3,0.75,9,2.25,92.5,1,0.25,1,2,0,4,2,0,0,0,0,87.5,2,3,5,2.5,1,0.5,1,0.5,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,80.5,1,0,2,5,1,2.5,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
DarthCarlos10,10,9,36,4,38,4.22222,8,14,3,6,18,36,2,38,2.11111,78.6667,8,0.444444,1,0,0,0,0,0,0,0,0,0,9,21,21,2.33333,4,0.444444,7,0.777778,83.1111,1,3,3,3,1,1,0,0,100,8,15,14,1.75,3,0.375,4,0.5,71,9,14,1.55556,59.1111,1,2,2,4,0,2,64,0,6,10,1,1.66667,66.8333,1,1,0,0,0,3,1,
Enigma,9,4,10,2.5,17,4.25,2,2,3,0,8,10,1.25,17,2.125,77.875,2,0.25,0,2,2,4,2,0,0,1,0.5,71,5,8,12,2.4,2,0.4,1,0.2,83.2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,65,7,15,2.14286,78.5714,3,0,7,15,3,2.14286,78.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kid Succulent,9,2,12,6,12,6,4,1,0,0,4,12,3,12,3,100,4,1,0,4,12,12,3,4,1,3,0.75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,79,1,0,2,5,1,2.5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eleazar,9,15,53,3.53333,74,4.93333,17,10,8,14,30,53,1.76667,74,2.46667,95.5333,17,0.566667,7,25,51,66,2.64,17,0.68,7,0.28,97.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,1.6,0,0,1,0.2,87.2,23,48,2.08696,78.1304,7,0,8,18,3,2.25,76.125,0,14,29,4,2.07143,82.3571,0,1,1,0,1,35,0,
Bob,11,4,15,3.75,19,4.75,3,7,2,0,8,15,1.875,19,2.375,90.25,3,0.375,1,0,0,0,0,0,0,0,0,0,6,10,14,2.33333,2,0.333333,3,0.5,89.1667,2,5,5,2.5,1,0.5,2,1,93.5,0,0,0,0,0,0,0,0,0,5,6,1.2,47.8,0,1,2,3,0,1.5,50.5,0,0,0,0,0,0,0,3,3,0,1,46,1,
