Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
TheDad,8,6,21,3.5,24,4,7,5,6,7,12,21,1.75,24,2,79.0833,7,0.583333,0,5,12,13,2.6,4,0.8,3,0.6,98.2,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,4,0,2,0.5,0,0,0,0,39.5,11,21,1.90909,86.6364,4,0,4,8,1,2,85,0,7,13,3,1.85714,87.5714,0,0,0,0,0,0,0,
TheDad,9,1,6,6,6,6,2,0,0,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech1Czech2,9,15,41,2.73333,66,4.4,15,12,13,9,30,41,1.36667,66,2.2,86.2667,15,0.5,1,26,40,61,2.34615,15,0.576923,12,0.461538,90.8462,1,0,2,2,0,0,0,0,91,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,1,0.333333,45,28,50,1.78571,73.25,3,3,19,30,1,1.57895,71.1579,3,9,20,2,2.22222,77.6667,0,0,0,0,0,0,0,
Mord,9,12,29,2.41667,46,3.83333,9,15,11,0,23,29,1.26087,46,2,81.5652,9,0.391304,0,18,24,38,2.11111,8,0.444444,2,0.111111,84.1667,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,4,2,5,1.25,0,0,1,0.25,65.25,21,27,1.28571,65.5238,3,5,21,27,3,1.28571,65.5238,5,0,0,0,0,0,0,0,0,0,0,0,0,
Whooboy,9,16,40,2.5,66,4.125,13,14,6,1,32,40,1.25,66,2.0625,82.6562,13,0.40625,3,23,32,52,2.26087,11,0.478261,4,0.173913,87.2609,4,6,9,2.25,2,0.5,0,0,93.75,0,0,0,0,0,0,0,0,0,5,2,5,1,0,0,0,0,52.6,22,40,1.81818,72.8636,3,1,21,38,3,1.80952,73.1429,1,1,2,0,2,67,0,0,0,0,0,0,0,
liam,8,11,24,2.18182,41,3.72727,12,6,15,10,22,24,1.09091,41,1.86364,74.6818,12,0.545455,0,9,12,22,2.44444,6,0.666667,4,0.444444,94.1111,5,9,15,3,5,1,3,0.6,100,1,3,3,3,1,1,1,1,100,7,0,1,0.142857,0,0,0,0,28,25,48,1.92,83.24,8,0,14,23,2,1.64286,79,0,10,24,6,2.4,91.5,0,1,1,0,1,60,0,
ren9,9,1,6,6,6,6,2,1,4,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,1,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,48.8,0,1,5,5,0,1,48.8,1,0,0,0,0,0,0,0,0,0,0,0,0,
Trav12,9,2,0,0,7,3.5,0,1,1,0,4,0,0,7,1.75,86.75,0,0,1,3,0,5,1.66667,0,0,0,0,88,1,0,2,2,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,81,1,0,3,7,1,2.33333,81,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jester,8,1,0,0,0,0,0,0,1,0,2,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,35.5,2,4,2,93.5,1,0,2,4,1,2,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
ritteshstark,8,17,54,3.17647,68,4,19,10,16,8,34,54,1.58824,68,2,75.5882,19,0.558824,1,15,30,38,2.53333,11,0.733333,7,0.466667,91.8667,7,15,19,2.71429,5,0.714286,5,0.714286,96.5714,1,3,3,3,1,1,1,1,100,11,6,8,0.727273,2,0.181818,0,0,37.8182,32,61,1.90625,76.1875,10,2,23,39,4,1.69565,70.1739,2,8,20,6,2.5,95.5,0,1,2,0,2,60,0,
