Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
Nordar 2,10,2,5,2.5,8,4,1,1,0,2,4,5,1.25,8,2,72.25,1,0.25,0,2,5,5,2.5,1,0.5,2,1,77.5,2,0,3,1.5,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.5,98.5,1,0,0.994587,1,3,1,3,100,0,1,2,0,2,97,0,0,0,0,0,0,0,
Aleister Crowle,9,3,15,5,16,5.33333,5,1,1,0,6,15,2.5,16,2.66667,92.3333,5,0.833333,0,3,9,9,3,3,1,1,0.333333,100,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,54,4,10,2.5,80.5,2,0,1.28922,4,10,2,2.5,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lacey Clan,9,10,21,2.1,43,4.3,7,6,12,2,20,21,1.05,43,2.15,86.1,7,0.35,1,2,0,3,1.5,0,0,0,0,69,14,15,31,2.21429,5,0.357143,4,0.285714,85.7143,4,6,9,2.25,2,0.5,2,0.5,96,0,0,0,0,0,0,0,0,0,22,41,1.86364,78.5455,4,1,2.226,20,37,4,1.85,78.7,1,2,4,0,2,77,0,0,0,0,0,0,0,
Dang,9,6,23,3.83333,30,5,8,3,1,2,12,23,1.91667,30,2.5,94.3333,8,0.666667,1,5,8,13,2.6,3,0.6,0,0,98.6,5,15,15,3,5,1,2,0.4,100,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,69.5,7,16,2.28571,82,3,0,1.17667,6,13,2,2.16667,79,0,1,3,1,3,100,0,0,0,0,0,0,0,
XXSREMMLIFEXX,9,3,12,4,17,5.66667,5,2,4,0,6,12,2,17,2.83333,95,5,0.833333,0,0,0,0,0,0,0,0,0,0,3,3,8,2.66667,2,0.666667,1,0.333333,90,3,9,9,3,3,1,3,1,100,0,0,0,0,0,0,0,0,0,7,13,1.85714,75,1,0,2.29167,6,12,1,2,79.5,0,0,0,0,0,0,0,1,1,0,1,48,0,
Rozkokoszony,11,3,12,4,14,4.66667,3,6,0,0,6,12,2,14,2.33333,96.6667,3,0.5,1,3,3,5,1.66667,0,0,1,0.333333,93.3333,0,0,0,0,0,0,0,0,0,3,9,9,3,3,1,2,0.666667,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,0.336391,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atlas,10,10,36,3.6,45,4.5,10,8,2,3,20,36,1.8,45,2.25,84,10,0.5,1,1,0,2,2,0,0,0,0,50,9,16,20,2.22222,4,0.444444,3,0.333333,83.1111,8,20,22,2.75,6,0.75,4,0.5,98.5,2,0,1,0.5,0,0,0,0,47,12,23,1.91667,64.0833,3,1,1.15682,7,13,0,1.85714,59.8571,0,3,9,3,3,100,0,2,1,0,0.5,25,1,
Honey Badger,11,8,33,4.125,39,4.875,9,11,6,0,16,33,2.0625,39,2.4375,84.8125,9,0.5625,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,54,15,33,38,2.53333,9,0.6,7,0.466667,86.8667,0,0,0,0,0,0,0,0,0,14,21,1.5,58.1429,0,0,1.69484,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,1.5,58.1429,0,
Swu2,9,2,12,6,12,6,4,0,4,1,4,12,3,12,3,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,3,4,1,4,1,100,0,0,0,0,0,0,0,0,0,6,13,2.16667,79.6667,2,0,2.9697,4,9,1,2.25,82,0,1,3,1,3,100,0,1,1,0,1,50,0,
Darth Carlos,10,12,28,2.33333,45,3.75,4,9,6,4,24,28,1.16667,45,1.875,76.125,4,0.166667,3,9,14,17,1.88889,2,0.222222,4,0.444444,77.7778,15,14,28,1.86667,2,0.133333,1,0.0666667,75.1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,1.66667,62.5556,3,4,1.64344,13,23,2,1.76923,64.9231,2,3,5,1,1.66667,62.3333,1,2,2,0,1,47.5,1,
Aboy,10,16,50,3.125,68,4.25,13,11,8,8,32,50,1.5625,68,2.125,83.375,13,0.40625,1,3,2,5,1.66667,0,0,1,0.333333,80,20,26,41,2.05,8,0.4,3,0.15,85.8,5,15,15,3,5,1,1,0.2,100,4,7,7,1.75,0,0,2,0.5,53,24,48,2,73.375,6,1,1.54498,15,28,2,1.86667,68.2,0,6,16,4,2.66667,88.6667,0,3,4,0,1.33333,68.6667,1,
SlimShady,9,6,18,3,24,4,6,3,4,0,12,18,1.5,24,2,81.9167,6,0.5,0,6,6,11,1.83333,2,0.333333,1,0.166667,80,2,6,6,3,2,1,0,0,100,2,6,6,3,2,1,2,1,100,2,0,1,0.5,0,0,0,0,51.5,10,19,1.9,73.8,3,1,1.67413,10,19,3,1.9,73.8,1,0,0,0,0,0,0,0,0,0,0,0,0,
michael,9,15,48,3.2,65,4.33333,16,8,15,1,30,48,1.6,65,2.16667,83.7,16,0.533333,1,14,15,26,1.85714,5,0.357143,3,0.214286,79.1429,12,27,32,2.66667,9,0.75,5,0.416667,93,2,6,6,3,2,1,1,0.5,100,2,0,1,0.5,0,0,0,0,43.5,29,60,2.06897,77.9655,9,2,1.87046,26,58,9,2.23077,83.1923,1,0,0,0,0,0,0,3,2,0,0.666667,32.6667,1,
Jippieh Yeah,9,8,8,1,29,3.625,4,4,3,2,14,8,0.571429,29,2.07143,81.4286,4,0.285714,1,6,3,13,2.16667,2,0.333333,0,0,86.5,5,3,12,2.4,2,0.4,1,0.2,88.2,0,0,0,0,0,0,0,0,0,3,2,4,1.33333,0,0,0,0,60,11,26,2.36364,84.0909,4,0,1.35541,10,23,3,2.3,82.5,0,1,3,1,3,100,0,0,0,0,0,0,0,
726,10,1,2,2,3,3,0,0,0,0,2,2,1,3,1.5,59.5,0,0,0,2,2,3,1.5,0,0,1,0.5,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1.27143,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
