Player,TH,Total Wars,Total Closer Stars,Total Avg Closer Stars,Total Stars,Avg Total Stars,Total 3-stars,Total Holds,Total Bleeds,Total Nuked,Attacks,Closer Stars,Avg Closer Stars,Stars,Avg Stars,Avg Dmg %,3-stars,3-star %,Near-miss (95%),Salt Attacks,Salt Closer Stars,Salt Stars,Salt Avg Stars,Salt 3-stars,Salt 3-star %,Salt 1st Attempt,Salt % 1st Close,Salt Avg Dmg,Boot Attacks,Boot Closer Stars,Boot Stars,Boot Avg Stars,Boot 3-stars,Boot 3-star %,Boot 1st Attempt,Boot % 1st Close,Boot Avg Dmg,Nuke Attacks,Nuke Closer Stars,Nuke Stars,Nuke Avg Stars,Nuke 3-stars,Nuke 3-star %,Nuke 1st Attempt,Nuke % 1st Close,Nuke Avg Dmg,Snipe Attacks,Snipe Closer Stars,Snipe Stars,Snipe Avg Stars,Snipe 3-stars,Snipe 3-star %,Snipe 1st Attempt,Snipe % 1st Close,Snipe Avg Dmg,Total Defends,Stars Yielded,Avg Stars Yielded,Avg Dmg,3-stars Yielded,Misses,Defend Ratio,Peer Attacks,Peer Stars,Peer 3-stars,Peer Avg Stars,Peer Avg Dmg,Peer Misses,Nuke Attacks,Nuke Stars,Nuke 3-stars,Nuke Avg Stars,Nuke Avg Dmg,Nuke Misses,Snipe Attacks,Snipe Stars,Snipe 3-stars,Snipe Avg Stars,Snipe Avg Dmg,Snipe Misses,
beteljuice,9,4,6,1.5,14,3.5,2,1,9,1,8,6,0.75,14,1.75,78.25,2,0.25,1,2,0,4,2,0,0,0,0,83,3,3,7,2.33333,1,0.333333,1,0.333333,90,1,3,3,3,1,1,1,1,100,2,0,0,0,0,0,0,0,45,13,23,1.76923,72,3,2,3.19909,8,16,1,2,75.5,0,1,3,1,3,100,0,4,4,1,1,58,2,
Ohio-Legend-216,9,8,20,2.5,32,4,6,4,9,6,16,20,1.25,32,2,80.9375,6,0.375,1,9,12,21,2.33333,4,0.444444,1,0.111111,94.1111,4,3,5,1.25,1,0.25,1,0.25,58,0,0,0,0,0,0,0,0,0,3,5,6,2,1,0.333333,2,0.666667,72,17,35,2.05882,82.1765,4,1,2.21467,13,26,3,2,81.9231,1,4,9,1,2.25,83,0,0,0,0,0,0,0,
Oscar,9,2,3,1.5,8,4,1,1,1,0,4,3,0.75,8,2,85.75,1,0.25,0,2,0,3,1.5,0,0,0,0,74.5,2,3,5,2.5,1,0.5,1,0.5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.33333,94.6667,1,0,1.46313,3,7,1,2.33333,94.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,
UTiger13,9,14,51,3.64286,68,4.85714,17,11,2,4,28,51,1.82143,68,2.42857,89,17,0.607143,0,14,21,34,2.42857,7,0.5,5,0.357143,90.5714,11,30,32,2.90909,10,0.909091,5,0.454545,98.7273,0,0,0,0,0,0,0,0,0,3,0,2,0.666667,0,0,0,0,46,14,35,2.5,82.7143,7,0,1.0152,12,29,5,2.41667,79.8333,0,2,6,2,3,100,0,0,0,0,0,0,0,
K.,9,6,30,5,31,5.16667,10,2,10,0,12,30,2.5,31,2.58333,93.9167,10,0.833333,0,0,0,0,0,0,0,0,0,0,3,9,9,3,3,1,1,0.333333,100,8,21,22,2.75,7,0.875,7,0.875,97.75,1,0,0,0,0,0,0,0,45,16,31,1.9375,78.375,4,1,2.52222,6,13,1,2.16667,90.3333,0,0,0,0,0,0,0,10,18,3,1.8,71.2,1,
CactusClan,10,15,18,1.2,52,3.46667,7,13,6,10,28,18,0.642857,52,1.85714,75.3571,7,0.25,1,7,0,10,1.42857,1,0.142857,0,0,72,12,3,21,1.75,1,0.0833333,0,0,72.9167,7,15,19,2.71429,5,0.714286,3,0.428571,92.5714,2,0,2,1,0,0,0,0,41.5,21,39,1.85714,66.1429,4,1,1.37154,7,14,1,2,73.5714,0,9,21,3,2.33333,82,0,5,4,0,0.8,27.2,1,
Nato,9,12,54,4.5,63,5.25,18,6,6,11,24,54,2.25,63,2.625,94.7917,18,0.75,1,15,36,40,2.66667,12,0.8,11,0.733333,96.3333,6,9,14,2.33333,3,0.5,3,0.5,88.3333,2,6,6,3,2,1,2,1,100,1,3,3,3,1,1,1,1,100,18,41,2.27778,85.2778,7,0,1.64405,9,19,3,2.11111,80.6667,0,9,22,4,2.44444,89.8889,0,0,0,0,0,0,0,
Nato,10,1,6,6,6,6,2,0,0,0,2,6,3,6,3,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,2,1,2,1,100,0,0,0,0,0,0,0,0,0,1,3,3,100,1,0,1.25714,1,3,1,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Batman,9,15,34,2.26667,65,4.33333,10,9,9,6,31,34,1.09677,65,2.09677,83.1613,10,0.322581,3,8,5,17,2.125,1,0.125,1,0.125,84.875,20,27,42,2.1,9,0.45,4,0.2,84.85,0,0,0,0,0,0,0,0,0,3,2,6,2,0,0,1,0.333333,67.3333,24,53,2.20833,77.875,7,0,1.6307,19,40,4,2.10526,73.5263,0,5,13,3,2.6,94.4,0,0,0,0,0,0,0,
Leah's Daddy Time,9,2,6,3,9,4.5,2,1,1,0,4,6,1.5,9,2.25,90.75,2,0.5,0,2,6,6,3,2,1,2,1,100,2,0,3,1.5,0,0,0,0,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,76,1,0,1.43077,2,5,1,2.5,82,0,0,0,0,0,0,0,1,1,0,1,64,0,
Space12345,10,12,38,3.16667,50,4.16667,8,11,3,6,24,38,1.58333,50,2.08333,75.0833,8,0.333333,1,4,8,10,2.5,2,0.5,2,0.5,80,13,21,29,2.23077,5,0.384615,4,0.307692,82.4615,2,3,4,2,1,0.5,0,0,80,5,6,7,1.4,0,0,1,0.2,50,15,27,1.8,59.5333,2,1,1.1987,5,10,0,2,55.4,0,6,13,2,2.16667,84.1667,0,4,4,0,1,27.75,1,
YeahRocks,9,7,6,0.857143,24,3.42857,2,3,9,1,12,6,0.5,24,2,83.0833,2,0.166667,2,2,0,3,1.5,0,0,0,0,64.5,7,0,13,1.85714,0,0,0,0,85.2857,2,6,6,3,2,1,1,0.5,100,1,0,2,2,0,0,0,0,71,16,32,2,74.6875,4,1,2.26077,12,26,4,2.16667,81.0833,0,0,0,0,0,0,0,4,6,0,1.5,55.5,1,
SWuTangClan,10,19,60,3.15789,79,4.15789,16,23,11,9,38,60,1.57895,79,2.07895,82.8421,16,0.421053,0,13,21,28,2.15385,5,0.384615,5,0.384615,88,19,30,40,2.10526,8,0.421053,7,0.368421,80.4211,3,6,7,2.33333,2,0.666667,1,0.333333,89.3333,3,3,4,1.33333,1,0.333333,1,0.333333,69.3333,28,47,1.67857,62.8571,3,2,1.50153,19,33,1,1.73684,63.7368,0,7,13,2,1.85714,71.8571,1,2,1,0,0.5,23,1,
Bolt,9,10,32,3.2,48,4.8,10,7,13,0,20,32,1.6,48,2.4,89.6,10,0.5,2,8,9,18,2.25,3,0.375,1,0.125,93.375,6,12,16,2.66667,4,0.666667,0,0,95.8333,3,9,9,3,3,1,2,0.666667,100,3,2,5,1.66667,0,0,1,0.333333,56.6667,23,42,1.82609,73.2609,3,1,2.25988,23,42,3,1.82609,73.2609,1,0,0,0,0,0,0,0,0,0,0,0,0,
Dirk N,9,2,0,0,5,2.5,0,0,4,5,4,0,0,5,1.25,77.25,0,0,1,2,0,3,1.5,0,0,0,0,94.5,1,0,1,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,45,6,14,2.33333,95.1667,2,0,3.34783,2,4,0,2,90,0,4,10,2,2.5,97.75,0,0,0,0,0,0,0,
DarthCarlos10,10,8,26,3.25,35,4.375,6,6,6,8,16,26,1.625,35,2.1875,80.375,6,0.375,0,5,12,12,2.4,2,0.4,2,0.4,79,10,11,20,2,3,0.3,1,0.1,79.1,1,3,3,3,1,1,0,0,100,0,0,0,0,0,0,0,0,0,14,26,1.85714,65.7143,2,1,1.8861,7,14,1,2,71.5714,0,7,12,1,1.71429,59.8571,1,0,0,0,0,0,0,
Nordar,11,1,4,4,4,4,0,0,2,0,2,4,2,4,2,53,0,0,0,1,92,2,2,0,0,1,1,51,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,1,55,0,0,0,0,0,0,0,0,0,3,3,1,53,1,2,2.27273,1,3,1,3,100,0,0,0,0,0,0,0,2,0,0,0,29.5,2,
Neifen,9,5,3,0.6,19,3.8,1,5,5,2,10,3,0.3,19,1.9,78.3,1,0.1,0,1,0,2,2,0,0,0,0,81,8,3,15,1.875,1,0.125,0,0,80,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,62,10,17,1.7,67.8,0,0,1.96496,9,15,0,1.66667,65.4444,0,1,2,0,2,89,0,0,0,0,0,0,0,
Daddy Bison,9,2,0,0,2,1,0,1,3,0,1,0,0,2,2,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1.8,74.4,1,0,2.46923,5,9,1,1.8,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eleazar,9,18,29,1.61111,77,4.27778,13,8,14,18,36,29,0.805556,77,2.13889,85.2778,13,0.361111,2,18,12,35,1.94444,5,0.277778,0,0,84.8333,12,15,30,2.5,6,0.5,2,0.166667,90.5833,0,0,0,0,0,0,0,0,0,6,2,12,2,2,0.333333,0,0,76,32,66,2.0625,78.4062,10,1,1.88805,13,23,3,1.76923,77,1,16,39,7,2.4375,90.125,0,3,4,0,1.33333,22,0,
ViciousVictor,9,15,38,2.53333,66,4.4,13,8,19,3,30,38,1.26667,66,2.2,86.8667,13,0.433333,3,0,0,0,0,0,0,0,0,0,25,26,54,2.16,9,0.36,8,0.32,86.28,4,12,12,3,4,1,4,1,100,1,0,0,0,0,0,0,0,49,34,63,1.85294,70.5588,8,2,2.21182,26,49,5,1.88462,71.7308,1,3,9,3,3,100,0,5,5,0,1,46.8,1,
Death Wish,9,4,9,2.25,17,4.25,3,5,1,1,8,9,1.125,17,2.125,88.5,3,0.375,0,1,0,2,2,0,0,0,0,77,6,6,12,2,2,0.333333,1,0.166667,88.5,1,3,3,3,1,1,1,1,100,0,0,0,0,0,0,0,0,0,4,7,1.75,73.75,1,1,1.02941,3,7,1,2.33333,86.6667,0,1,0,0,0,35,1,0,0,0,0,0,0,
Matley,10,3,5,1.66667,11,3.66667,1,3,2,2,6,5,0.833333,11,1.83333,73.3333,1,0.166667,0,2,0,3,1.5,0,0,0,0,61.5,4,5,8,2,1,0.25,0,0,79.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1.75,64,2,1,1.23372,1,1,0,1,45,0,2,6,2,3,100,0,1,0,0,0,11,1,
Captain America,9,4,9,2.25,17,4.25,3,2,3,0,8,9,1.125,17,2.125,86.25,3,0.375,0,4,3,8,2,1,0.25,1,0.25,88.25,2,3,5,2.5,1,0.5,1,0.5,94.5,1,3,3,3,1,1,1,1,100,1,0,1,1,0,0,0,0,48,7,15,2.14286,77,2,0,1.73145,7,15,2,2.14286,77,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corey,9,19,66,3.47368,93,4.89474,22,9,16,8,38,66,1.73684,93,2.44737,90.0789,22,0.578947,0,20,21,42,2.1,7,0.35,6,0.3,83.9,17,42,48,2.82353,14,0.823529,11,0.647059,96.7647,0,0,0,0,0,0,0,0,0,1,3,3,3,1,1,0,0,100,35,70,2,79.8857,11,1,1.89016,29,53,6,1.82759,76.1034,1,6,17,5,2.83333,98.1667,0,0,0,0,0,0,0,
